voteThreadId,userId,threadId,vote
0,312,42,1
1,531,681,1
2,147,443,1
3,686,495,0
4,167,492,1
5,76,598,0
6,365,112,0
7,161,1415,1
8,823,100,1
9,525,1457,0
10,406,13,1
11,471,201,0
12,766,355,0
13,266,1609,1
14,361,52,1
15,875,580,1
16,921,373,0
17,563,164,0
18,696,1073,1
19,892,793,1
20,11,1241,1
21,415,953,0
22,543,712,0
23,277,439,1
24,705,138,1
25,147,542,1
26,601,445,1
27,172,630,1
28,883,1033,1
29,230,385,1
30,513,758,0
31,597,404,1
32,594,937,0
33,839,1594,1
34,710,13,1
35,656,985,1
36,692,676,1
37,661,246,1
38,209,1171,1
39,658,74,0
40,380,1419,1
41,920,513,0
42,835,62,0
43,706,1529,1
44,68,222,0
45,672,1681,1
46,647,800,1
47,152,1634,1
48,727,1263,1
49,381,377,1
50,443,1145,1
51,25,1600,1
52,268,1036,0
53,91,1446,1
54,741,1298,1
55,332,1397,0
56,751,728,0
57,469,84,0
58,589,1444,0
59,925,642,1
60,794,1443,0
61,332,1326,0
62,821,957,0
63,209,1632,0
64,641,1611,0
65,141,1027,0
66,754,846,0
67,381,1621,1
68,176,327,1
69,812,1221,1
70,800,864,1
71,258,894,1
72,829,1101,1
73,490,234,0
74,723,765,1
75,205,1341,0
76,610,350,0
77,323,691,1
78,338,1380,0
79,433,1398,1
80,785,682,0
81,913,1058,0
82,659,276,1
83,456,308,0
84,900,247,1
85,709,168,1
86,250,171,1
87,288,874,1
88,477,1503,0
89,412,181,1
90,99,78,1
91,358,241,1
92,556,1249,1
93,147,787,1
94,721,488,1
95,462,1346,1
96,531,553,1
97,535,581,0
98,788,33,1
99,849,1384,0
100,232,909,0
101,552,1147,1
102,68,1380,1
103,379,142,1
104,87,1572,1
105,729,875,0
106,672,1164,0
107,245,1358,1
108,107,1668,0
109,319,909,0
110,670,527,0
111,163,699,0
112,207,1218,0
113,42,1394,0
114,689,1480,0
115,40,660,1
116,258,420,1
117,724,142,1
118,134,1424,0
119,619,991,0
120,21,1203,1
121,435,1660,1
122,571,938,0
123,749,1300,1
124,164,1154,1
125,741,148,1
126,223,1358,0
127,852,807,0
128,773,1092,0
129,874,452,1
130,640,1403,1
131,560,372,0
132,195,1499,1
133,71,725,1
134,559,1055,1
135,550,1617,0
136,279,250,1
137,826,472,1
138,606,434,1
139,330,1053,1
140,361,1164,1
141,742,209,0
142,425,99,0
143,838,301,0
144,903,210,0
145,182,1658,1
146,369,184,0
147,522,915,1
148,77,32,0
149,414,682,1
150,652,1127,1
151,612,1371,1
152,424,1660,1
153,813,1392,1
154,172,1086,1
155,476,1079,0
156,163,1218,1
157,43,1253,1
158,416,981,1
159,872,1150,1
160,196,1426,1
161,769,116,0
162,391,1322,0
163,17,920,1
164,428,1592,1
165,440,497,1
166,245,546,0
167,288,1578,1
168,425,144,0
169,255,581,1
170,936,1127,0
171,310,1267,1
172,189,350,1
173,909,355,1
174,878,662,0
175,413,149,0
176,29,22,0
177,28,1462,1
178,500,359,1
179,213,634,0
180,287,280,0
181,223,941,1
182,789,158,0
183,488,763,1
184,103,1263,0
185,930,1440,1
186,148,216,0
187,624,512,1
188,473,173,0
189,635,1612,1
190,645,642,1
191,476,1013,0
192,177,1231,0
193,353,135,0
194,858,1277,1
195,301,564,1
196,661,913,0
197,66,1531,1
198,69,890,0
199,284,453,1
200,690,878,0
201,197,415,1
202,449,14,0
203,851,1466,1
204,141,223,1
205,65,397,0
206,858,860,1
207,137,65,1
208,363,319,0
209,443,1384,0
210,259,195,1
211,371,1370,1
212,189,288,0
213,769,1473,1
214,850,1588,1
215,936,402,1
216,735,810,0
217,223,1469,1
218,831,586,1
219,265,960,1
220,859,1216,1
221,787,196,1
222,159,456,0
223,321,711,1
224,413,975,0
225,283,352,1
226,283,273,1
227,11,1571,1
228,711,1158,0
229,593,1371,1
230,641,399,1
231,511,1095,0
232,492,188,0
233,466,1021,1
234,75,1538,1
235,373,1547,1
236,613,1199,1
237,690,36,1
238,269,1465,0
239,72,799,1
240,635,1435,1
241,462,1465,1
242,19,1259,0
243,708,932,1
244,816,154,1
245,4,53,0
